iso3,country,region,subregion,capital,lat,lon,population_master,population_wb,population_year,gdp_usd,gdp_usd_year,gdp_per_capita_usd,gdp_per_capita_usd_year,life_expectancy,life_expectancy_year,population,population_source,as_of_utc
FRO,Faroe Islands,Europe,Northern Europe,Tórshavn,62.0,-7.0,54885,54681.0,2024,4052937169.76536,2024,74119.6607553879,2024,83.0832463414634,2024,54681.0,world_bank,2026-05-23T05:48:00+00:00
STP,São Tomé and Príncipe,Africa,Middle Africa,São Tomé,1.0,7.0,209607,235536.0,2024,822154621.088897,2024,3490.56883486557,2024,69.905,2024,235536.0,world_bank,2026-05-23T05:48:00+00:00
MNP,Northern Mariana Islands,Oceania,Micronesia,Saipan,15.2,145.75,47329,44278.0,2024,1096000000.0,2022,23785.754590043,2022,78.947,2024,44278.0,world_bank,2026-05-23T05:48:00+00:00
JEY,Jersey,Europe,Northern Europe,Saint Helier,49.25,-2.16666666,103267,,,,,,,,,103267.0,master,2026-05-23T05:48:00+00:00
MYT,Mayotte,Africa,Eastern Africa,Mamoudzou,-12.83333333,45.16666666,320901,,,,,,,,,320901.0,master,2026-05-23T05:48:00+00:00
YEM,Yemen,Asia,Western Asia,Sana'a,15.0,48.0,32684503,40583164.0,2024,21606160663.0318,2018,633.887202451545,2018,69.439,2024,40583164.0,world_bank,2026-05-23T05:48:00+00:00
NGA,Nigeria,Africa,Western Africa,Abuja,10.0,8.0,223800000,232679478.0,2024,252261880141.151,2024,1084.16041805436,2024,54.635,2024,232679478.0,world_bank,2026-05-23T05:48:00+00:00
AFG,Afghanistan,Asia,Southern Asia,Kabul,33.0,65.0,43844000,42647492.0,2024,17152234636.8715,2023,413.757894705303,2023,66.289,2024,42647492.0,world_bank,2026-05-23T05:48:00+00:00
BWA,Botswana,Africa,Southern Africa,Gaborone,-22.0,24.0,2359609,2521139.0,2024,19402063512.9066,2024,7695.75319445165,2024,69.293,2024,2521139.0,world_bank,2026-05-23T05:48:00+00:00
IMN,Isle of Man,Europe,Northern Europe,Douglas,54.25,-4.5,84530,84160.0,2024,7431257410.92713,2022,88328.548125887,2022,81.091,2024,84160.0,world_bank,2026-05-23T05:48:00+00:00
SLV,El Salvador,Americas,Central America,San Salvador,13.83333333,-88.91666666,6029976,6338193.0,2024,35364960000.0,2024,5579.65969165029,2024,72.302,2024,6338193.0,world_bank,2026-05-23T05:48:00+00:00
UGA,Uganda,Africa,Eastern Africa,Kampala,1.0,32.0,45905417,50015092.0,2024,53911907086.1525,2024,1077.91278452817,2024,68.487,2024,50015092.0,world_bank,2026-05-23T05:48:00+00:00
AND,Andorra,Europe,Southern Europe,Andorra la Vella,42.5,1.5,88406,81938.0,2024,4039842405.48117,2024,49303.6491674336,2024,84.188,2024,81938.0,world_bank,2026-05-23T05:48:00+00:00
TCA,Turks and Caicos Islands,Americas,Caribbean,Cockburn Town,21.75,-71.58333333,50828,46535.0,2024,1745378000.0,2024,37506.7798431288,2024,78.181,2024,46535.0,world_bank,2026-05-23T05:48:00+00:00
TCD,Chad,Africa,Middle Africa,N'Djamena,15.0,19.0,19340757,20299123.0,2024,19518819751.283,2024,961.55975562506,2024,55.238,2024,20299123.0,world_bank,2026-05-23T05:48:00+00:00
FIN,Finland,Europe,Northern Europe,Helsinki,64.0,26.0,5650325,5619911.0,2024,298696961297.656,2024,53149.7671934051,2024,82.3365853658537,2024,5619911.0,world_bank,2026-05-23T05:48:00+00:00
RUS,Russia,Europe,Eastern Europe,Moscow,60.0,100.0,146028325,143533851.0,2024,2173835806671.66,2024,14889.0185546875,2024,73.4404878048781,2024,143533851.0,world_bank,2026-05-23T05:48:00+00:00
KAZ,Kazakhstan,Asia,Central Asia,Astana,48.0196,66.9237,20426568,20592571.0,2024,291480274648.826,2024,14154.6324958076,2024,74.531,2024,20592571.0,world_bank,2026-05-23T05:48:00+00:00
SJM,Svalbard and Jan Mayen,Europe,Northern Europe,Longyearbyen,78.0,20.0,2530,,,,,,,,,2530.0,master,2026-05-23T05:48:00+00:00
VEN,Venezuela,Americas,South America,Caracas,8.0,-66.0,28517000,28405543.0,2024,119802963257.783,2024,4217.59102643391,2024,72.673,2024,28405543.0,world_bank,2026-05-23T05:48:00+00:00
MCO,Monaco,Europe,Western Europe,Monaco,43.73333333,7.4,38423,38631.0,2024,11125783372.4794,2024,288001.433369041,2024,86.497,2024,38631.0,world_bank,2026-05-23T05:48:00+00:00
